"Institution ID","Institution","Game Date","Uniform Number","Last Name","First Name","Rushing","","","","","Passing","","","","","","Total Off.","","Receiving","","","Pass Int","","","Fumble Ret","","","Punting","","Punt Ret","","","KO Ret","","","Total TD","Off xpts","","","","Def xpts","","","","FG","","Saf","Points"
"","","","","","","Rushes","Gain","Loss","Net","TD","Att","Cmp","Int","Yards","TD","Conv","Plays","Yards","No.","Yards","TD","No.","Yards","TD","No.","Yards","TD","No.","Yards","No.","Yards","TD","No.","Yards","TD","","Kicks Att","Kicks Made","R/P Att","R/P Made","Kicks Att","Kicks Made","Int/Fum Att","Int/Fum Made","Att","Made"
"721","Air Force","10/16/10","82","DEMERATH","CHAZ","","","","","","","","","","","","0","0","4","52","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","10/30/10","82","DEMERATH","CHAZ","","","","","","","","","","","","0","0","1","13","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","12/27/10","82","DEMERATH","CHAZ","","","","","","","","","","","","0","0","4","48","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/04/10","11","DIETZ","CONNOR","1","12","0","12","0","","","","","","","1","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/23/10","11","DIETZ","CONNOR","3","5","0","5","0","","","","","","","3","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/06/10","11","DIETZ","CONNOR","4","8","2","6","0","","","","","","","4","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/13/10","11","DIETZ","CONNOR","8","36","2","34","1","7","5","0","67","1","","15","101","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","09/04/10","19","ESCAMILLA","JON","1","4","0","4","0","","","","","","","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/04/10","83","FOGLER","KEVIN","","","","","","","","","","","","0","0","2","67","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/09/10","81","FREEMAN","JOSHUA","","","","","","","","","","","","0","0","1","51","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/16/10","81","FREEMAN","JOSHUA","","","","","","","","","","","","0","0","1","9","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/23/10","81","FREEMAN","JOSHUA","","","","","","","","","","","","0","0","1","17","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/30/10","81","FREEMAN","JOSHUA","","","","","","","","","","","","0","0","1","45","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/04/10","28","GETZ","CODY","3","20","0","20","0","","","","","","","3","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/18/10","28","GETZ","CODY","1","2","0","2","0","","","","","","","1","2","","","","","","","","","","","","","","","1","24","0","","","","","","","","","","","","","0"
"721","Air Force","09/25/10","28","GETZ","CODY","4","36","0","36","0","","","","","","","4","36","","","","","","","","","","","","","","","1","24","0","","","","","","","","","","","","","0"
"721","Air Force","10/09/10","28","GETZ","CODY","4","28","0","28","0","","","","","","","4","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/16/10","28","GETZ","CODY","5","22","0","22","0","","","","","","","5","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/23/10","28","GETZ","CODY","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","1","2","0","","","","","","","","","","","","","0"
"721","Air Force","10/30/10","28","GETZ","CODY","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","1","19","0","","","","","","","","","","","","","0"
"721","Air Force","11/06/10","28","GETZ","CODY","2","1","0","1","0","","","","","","","2","1","","","","","","","","","","","","","","","2","28","0","","","","","","","","","","","","","0"
"721","Air Force","11/13/10","28","GETZ","CODY","3","18","0","18","0","","","","","","","3","18","","","","","","","","","","","","","","","1","21","0","","","","","","","","","","","","","0"
"721","Air Force","11/18/10","28","GETZ","CODY","1","5","0","5","0","","","","","","","1","5","","","","","","","","","","","","","","","3","53","0","","","","","","","","","","","","","0"
"721","Air Force","09/04/10","4","HALDERMAN","KYLE","1","15","0","15","0","","","","","","","1","15","2","43","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","09/11/10","4","HALDERMAN","KYLE","2","16","0","16","0","","","","","","","2","16","1","23","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/18/10","4","HALDERMAN","KYLE","4","29","0","29","1","","","","","","","4","29","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","09/25/10","4","HALDERMAN","KYLE","1","4","0","4","0","","","","","","","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/02/10","4","HALDERMAN","KYLE","5","23","1","22","0","","","","","","","5","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/09/10","4","HALDERMAN","KYLE","2","15","0","15","1","","","","","","","2","15","1","24","0","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","10/16/10","4","HALDERMAN","KYLE","3","24","0","24","0","","","","","","","3","24","2","41","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/23/10","4","HALDERMAN","KYLE","4","53","0","53","0","","","","","","","4","53","1","8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/30/10","4","HALDERMAN","KYLE","3","8","0","8","0","","","","","","","3","8","3","67","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","11/06/10","4","HALDERMAN","KYLE","1","3","0","3","0","","","","","","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/13/10","4","HALDERMAN","KYLE","3","18","1","17","0","","","","","","","3","17","3","40","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/18/10","4","HALDERMAN","KYLE","5","26","0","26","0","","","","","","","5","26","1","8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","12/27/10","4","HALDERMAN","KYLE","2","8","0","8","0","","","","","","","2","8","4","36","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/18/10","80","HIRNEISE","BRANDON","","","","","","","","","","","","0","0","1","9","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/16/10","80","HIRNEISE","BRANDON","","","","","","","","","","","","0","0","1","18","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/18/10","80","HIRNEISE","BRANDON","","","","","","","","","","","","0","0","1","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
